Age,Growth,Shoe size,Course number,Year of birth,Friend number,Russian rating,Maths rating,Physics rating,Computer science rating,Chemistry rating,Literature rating,History rating,Geography rating,Biology rating,Foreign language rating,Social science rating,Distance to home km,Minutes to first class,Children number,Removed teeth,Weight,Glasses,Sex,Problems in last semester,Coin,Rock paper scissors,Animal,Month of birthday,Your rating in university,Fastfood,Height of 5000 mm,Width of 5000 mm,Putin age,Army,Hostel,Hair length,Floor number,Social network duration min,Chocolate,City population,Strange people,Your insitute,Brother-sister,Plane seat,MIddle and index finger,Middle and ring finger,Middle and little finger
20,170,40,2,2002,100,85,86,0,84,0,0,0,0,0,0,0,0,150,4,0,64,да,женский,нет,Орел,Камень,Кошек,6,выше средней по университету,Бургер кинг,100,200,68,не призовут (по разным причинам),нет,50,7,45,Сникерс,800000,Экономический,Математический и ИТ,нет ни брата ни сестры,У окна (пардон: у иллюминатора),20,10,40
22,191,43,7,2000,307,69,74,64,72,0,0,0,0,0,0,0,0,50,,,73,простите. не увидел(а) вопроса )))),мужской,нет,Орел,Камень,Собак,4,ниже средней по университету,KFC,50,8,53,не призовут (по разным причинам),нет,7,5,180,КитКат,800000,Математический и ИТ,Математический и ИТ,есть и брат и сестра,В середине,5,5,20
21,172,41,4,2000,186,78,62,0,0,0,0,0,0,0,0,70,0,80,2,0,60,да,мужской,нет,Решка,Ножницы,Собак,8,выше средней по университету,Макдональдс (или как он там сейчас называется?),75,170,69,могут призвать,нет,4,7,90,КитКат,770000,Педагогический,Другое,есть брат,У окна (пардон: у иллюминатора),13,10,26
19,168,38,2,2003,604,72,0,0,0,0,0,98,0,0,0,91,640,40,2,0,59,нет,женский,нет,Решка,Ножницы,Собак,1,выше средней по университету,Макдональдс (или как он там сейчас называется?),50,100,70,не призовут (по разным причинам),нет,20,5,200,Баунти,900000,СоцГум,Юридический,есть сестра,У окна (пардон: у иллюминатора),12,13.5,35
23,159,36,1,1998,144,0,0,0,0,0,0,0,0,0,0,0,2505,40,2.5,1,57,нет,женский,нет,Орел,Бумага,Кошек,12,выше средней по университету,Бургер кинг,35,120,67,не призовут (по разным причинам),нет,55,3,400,Баунти,860000,Педагогический,Педагогический,есть сестра,У окна (пардон: у иллюминатора),10,11,22
18,177,40,2,2003,100,70,68,0,75,0,0,0,0,0,83,0,1000,60,,2,50,нет,мужской,да,Орел,Ножницы,Кошек,10,ниже средней по университету,KFC,50,11,66,могут призвать,нет,25,10,250,Сникерс,1200000,СоцГум,Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),12,7,30
18,180,42,0,2004,0,66,4,0,0,0,0,0,0,0,63,65,330,60,,,55,да,мужской,нет,Орел,Камень,Собак,3,выше средней по университету,KFC,60,200,67,не призовут (по разным причинам),нет,10,1,30,Сникерс,700000,Педагогический,Юридический,есть брат,У окна (пардон: у иллюминатора),5,30,35
19,180,48,1,2003,5,72,0,0,0,0,0,59,0,0,0,79,0,75,2,0,120,да,мужской,да,Орел,Камень,Кошек,4,выше средней по университету,Бургер кинг,60,180,67,могут призвать,нет,20,4,240,Баунти,880000,Естественный (биология-химия-физика-технари),Юридический,есть брат,У окна (пардон: у иллюминатора),7,5,25
20,185,46,3,2002,28,87,76,0,0,0,0,61,0,0,0,94,200,70,0,3,69,да,мужской,нет,Решка,Камень,Кошек,3,выше средней по университету,KFC,0,0,71,не призовут (по разным причинам),нет,25,3,120,Скиттлс (хотя это и не шоколадка),800000,Естественный (биология-химия-физика-технари),Экономический,есть брат,В середине,5,3,15
22,168,38,6,2000,297,71,5,0,0,0,69,71,0,0,69,0,3000,160,5,,58,нет,женский,нет,Решка,Ножницы,Кошек,5,выше средней по университету,Макдональдс (или как он там сейчас называется?),650,150,67,не призовут (по разным причинам),нет,45,2,40,Милки Вей,860,Математический и ИТ,СоцГум,есть брат,У окна (пардон: у иллюминатора),15,10,40
20,158,35,4,2001,1000,85,72,0,0,72,0,0,0,64,0,0,0,60,3,0,47,да,женский,нет,Орел,Камень,Кошек,10,выше средней по университету,Макдональдс (или как он там сейчас называется?),70,190,69,не призовут (по разным причинам),нет,50,3,600,КитКат,800000,Педагогический,Естественный (биология-химия-физика-технари),есть и брат и сестра,У прохода,10,9,15
19,183,44,2,2002,40,5,5,0,6,0,0,0,0,0,0,0,1200,120,6,3,98,простите. не увидел(а) вопроса )))),мужской,да,Орел,Бумага,Ненавижу этих животных,12,ниже средней по университету,Макдональдс (или как он там сейчас называется?),60,120,69,могут призвать,нет,1,3,300,КитКат,880000,Математический и ИТ,Математический и ИТ,нет ни брата ни сестры,У окна (пардон: у иллюминатора),9,10,15
21,169,39,4,2001,150,68,27,0,0,0,0,45,0,0,0,67,0,40,1,0,,да,женский,нет,Орел,Ножницы,Собак,6,выше средней по университету,Макдональдс (или как он там сейчас называется?),10,20,72,не призовут (по разным причинам),нет,20,10,240,M&Ms,800,Педагогический,Экономический,есть сестра,В середине,9,11,25
20,164,40,4,2001,30,86,0,0,0,0,70,0,0,0,0,56,0,100,1,,,да,женский,нет,Орел,Камень,Кошек,9,выше средней по университету,Макдональдс (или как он там сейчас называется?),60,100,69,не призовут (по разным причинам),нет,50,8,300,Натс,800000,Математический и ИТ,СоцГум,нет ни брата ни сестры,У окна (пардон: у иллюминатора),8,10,30
21,183,42,4,2000,89,83,70,69,73,0,0,0,0,0,0,0,0,180,,,,,мужской,нет,Орел,Камень,Собак,12,выше средней по университету,Макдональдс (или как он там сейчас называется?),55,95,72,могут призвать,нет,30,7,2,Сникерс,1200000,Математический и ИТ,Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),11,6,30
20,166,40,3,2002,154,93,93,0,0,0,0,0,0,0,0,89,336,50,,0,48,нет,женский,нет,Решка,Ножницы,Кошек,1,ниже средней по университету,Бургер кинг,70,120,80,не призовут (по разным причинам),да,23,3,180,КитКат,90,Естественный (биология-химия-физика-технари),Математический и ИТ,есть сестра,У окна (пардон: у иллюминатора),10,9,30
18,185,45,1,2003,223,64,62,59,85,0,0,0,0,0,0,0,0,30,0,0,64,простите. не увидел(а) вопроса )))),мужской,нет,Орел,Ножницы,Собак,12,выше средней по университету,Бургер кинг,55,170,68,могут призвать,нет,4,5,360,Сникерс,82000,Математический и ИТ,Математический и ИТ,есть сестра,У окна (пардон: у иллюминатора),13,11,40
19,183,43,2,2003,367,78,76,0,0,59,0,0,0,0,0,0,3000,15,1,,60,нет,мужской,нет,Орел,Ножницы,Собак,4,выше средней по университету,Бургер кинг,100,400,67,не призовут (по разным причинам),нет,1.5,9,540,Твикс,1300000,Математический и ИТ,Математический и ИТ,есть сестра,У окна (пардон: у иллюминатора),12,8,43
21,167,38,3,2001,200,60,64,0,50,0,0,0,0,0,0,0,0,100,1,,53,нет,женский,нет,Решка,Камень,Кошек,3,выше средней по университету,KFC,65,160,68,не призовут (по разным причинам),нет,50,12,200,КитКат,87,Математический и ИТ,Математический и ИТ,есть сестра,У окна (пардон: у иллюминатора),30,15,38
21,164,38,3,2001,526,79,79,72,78,0,0,0,0,0,0,0,0,120,3,0,59,да,женский,нет,Решка,Камень,Собак,4,выше средней по университету,KFC,50,15,66,не призовут (по разным причинам),нет,40,4,180,Баунти,880000,Естественный (биология-химия-физика-технари),Математический и ИТ,есть сестра,У окна (пардон: у иллюминатора),2,1,4
21,186,45,3,2001,182,70,64,60,73,0,0,0,0,0,0,0,60,20,2,0,93,нет,мужской,нет,Орел,Ножницы,Кошек,1,выше средней по университету,KFC,50,120,99,могут призвать,нет,20,3,180,Марс,1200000,Математический и ИТ,Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),10,8,40
21,168,38,3,2001,101,72,62,0,78,0,0,0,0,0,0,0,0,40,0,0,55,да,женский,нет,Орел,Камень,Кошек,7,выше средней по университету,Макдональдс (или как он там сейчас называется?),38,102,70,не призовут (по разным причинам),нет,23,4,50,Сникерс,600000,Педагогический,Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),6,6,18
22,158,38,4,2000,568,80,76,61,57,0,0,0,0,0,0,0,0,52,2,4,56,да,женский,нет,Решка,Бумага,Собак,4,выше средней по университету,Макдональдс (или как он там сейчас называется?),70,150,70,не призовут (по разным причинам),нет,90,9,330,Баунти,600000,Юридический,Математический и ИТ,есть сестра,У окна (пардон: у иллюминатора),12,11,25
20,188,42,3,2002,100,87,80,0,83,0,0,0,0,0,0,0,600,60,3,0,65,да,мужской,нет,Орел,Камень,Кошек,7,выше средней по университету,Макдональдс (или как он там сейчас называется?),60,140,62,не призовут (по разным причинам),нет,7,5,120,Сникерс,120000,Математический и ИТ,Математический и ИТ,есть и брат и сестра,У прохода,6,2,25
20,177,44,3,2002,28,91,78,0,92,0,0,0,0,0,0,0,22,90,0,,65,нет,мужской,нет,Орел,Бумага,Кошек,3,ниже средней по университету,Макдональдс (или как он там сейчас называется?),90,220,65,могут призвать,нет,12,5,120,Сникерс,1100000,СоцГум,Математический и ИТ,есть сестра,У окна (пардон: у иллюминатора),18,4,30
22,164,39,1,2000,194,78,80,0,91,0,0,0,0,0,0,0,0,90,0,0,70,нет,женский,нет,Решка,Бумага,Кошек,3,выше средней по университету,KFC,50,120,67,не призовут (по разным причинам),нет,20,17,300,КитКат,800000,Естественный (биология-химия-физика-технари),Математический и ИТ,нет ни брата ни сестры,У окна (пардон: у иллюминатора),7,6,20
18,163,36,1,2004,110,98,88,0,88,0,0,0,0,0,0,0,400,40,1,2,60,да,женский,нет,Решка,Камень,Собак,1,выше средней по университету,KFC,90,150,68,не призовут (по разным причинам),да,30,1,1000,Натс,1000000,Математический и ИТ,Математический и ИТ,есть сестра,У окна (пардон: у иллюминатора),10,12,35
19,193,48,2,2003,110,86,84,0,88,0,0,0,0,0,0,0,1000,90,1,1,61,да,мужской,нет,Орел,Ножницы,Кошек,4,выше средней по университету,KFC,60,150,70,могут призвать,нет,3,3,300,Марс,886000,СоцГум,Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),11,14,45
20,163,38,3,2001,225,80,86,0,88,0,0,0,0,0,86,0,0,90,0,2,90,да,женский,нет,Орел,Камень,Кошек,12,выше средней по университету,KFC,50,150,70,не призовут (по разным причинам),нет,20,5,900,Твикс,900000,Математический и ИТ,Математический и ИТ,нет ни брата ни сестры,У окна (пардон: у иллюминатора),7,10,30
19,168,38,5,2003,97,87,85,0,98,0,0,0,0,0,0,0,0,90,,,,простите. не увидел(а) вопроса )))),женский,нет,Орел,Ножницы,Собак,1,выше средней по университету,Макдональдс (или как он там сейчас называется?),70,100,69,не призовут (по разным причинам),нет,35,16,125,Сникерс,900,Математический и ИТ,Математический и ИТ,есть сестра,У окна (пардон: у иллюминатора),5,10,25
19,181,42,2,2003,216,91,82,0,88,0,0,0,0,0,0,0,0,40,,,70,да,мужской,нет,Орел,Ножницы,Ненавижу этих животных,1,выше средней по университету,Бургер кинг,40,100,69,могут призвать,нет,3,1,480,Твикс,820000,Математический и ИТ,Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),10,80,35
22,170,39,2,2000,125,91,78,0,81,0,0,0,0,0,0,69,0,180,2,0,65,да,женский,нет,Решка,Ножницы,Собак,1,выше средней по университету,KFC,70,170,69,не призовут (по разным причинам),нет,40,2,1000,Марс,800000,Математический и ИТ,Математический и ИТ,есть сестра,У окна (пардон: у иллюминатора),20,10,15
23,164,39,7,1998,50,84,76,0,68,0,0,0,0,0,0,72,0,40,,0,,да,женский,нет,Решка,Камень,Собак,10,выше средней по университету,Бургер кинг,100,180,73,не призовут (по разным причинам),нет,48,6,180,Баунти,890000,Педагогический,Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),12,7,25
22,188,44,4,2000,165,71,70,66,61,0,0,0,0,0,79,0,0,60,2,0,95,нет,мужской,нет,Орел,Бумага,Кошек,4,выше средней по университету,Бургер кинг,50,175,71,не призовут (по разным причинам),нет,10,8,120,КитКат,850000,Математический и ИТ,Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),10,6,19
19,155,37,1,2003,53,72,74,0,64,0,0,0,0,0,0,0,1233,60,1,,,да,женский,нет,Орел,Камень,Собак,11,выше средней по университету,KFC,80,150,68,не призовут (по разным причинам),нет,20,12,1000,Твикс,120000,Естественный (биология-химия-физика-технари),Математический и ИТ,нет ни брата ни сестры,У прохода,5,10,50
22,185,44,4,200,87,95,50,0,62,0,0,0,0,0,0,0,1111,60,2,5,64,нет,мужской,нет,Орел,Камень,Кошек,7,выше средней по университету,KFC,75,155,70,не призовут (по разным причинам),нет,0.7,19,100,Сникерс,880000,Математический и ИТ,Математический и ИТ,есть сестра,У прохода,5,9,25
19,177,42,3,2003,92,85,80,0,82,0,0,0,0,0,0,0,0,30,,,65,нет,мужской,нет,Орел,Ножницы,Кошек,2,ниже средней по университету,Бургер кинг,5,120,70,не призовут (по разным причинам),нет,3,15,90,Баунти,800000,Математический и ИТ,Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),8,8,20
25,158,35,7,1997,73,93,62,0,95,0,0,0,0,0,0,0,800,30,2,1,60,нет,женский,нет,Решка,Ножницы,Кошек,2,выше средней по университету,KFC,50,150,70,не призовут (по разным причинам),нет,60,8,60,Твикс,1000000,Естественный (биология-химия-физика-технари),Математический и ИТ,есть сестра,У окна (пардон: у иллюминатора),5,10,25
20,162,37,4,2002,22,80,5,0,0,0,0,0,0,54,0,86,0,90,1,0,53,нет,женский,нет,Решка,Камень,Кошек,4,выше средней по университету,Макдональдс (или как он там сейчас называется?),100,200,70,не призовут (по разным причинам),нет,50,5,4000,Натс,700000,Математический и ИТ,Педагогический,есть брат,У окна (пардон: у иллюминатора),3,5,20
21,186,44,4,2000,150,90,55,0,51,0,0,0,0,0,0,0,0,60,2,0,84,простите. не увидел(а) вопроса )))),мужской,да,Орел,Ножницы,Кошек,12,выше средней по университету,Макдональдс (или как он там сейчас называется?),65,180,850,могут призвать,нет,8,3,120,Марс,860,Математический и ИТ,Математический и ИТ,нет ни брата ни сестры,У окна (пардон: у иллюминатора),8,14,40
22,165,39,1,2000,32,96,72,0,79,0,0,0,0,0,0,0,0,40,2,0,59,да,женский,да,Решка,Бумага,Кошек,6,ниже средней по университету,KFC,65,150,69,не призовут (по разным причинам),нет,45,8,240,Баунти,870000,Математический и ИТ,Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),7,9,43
20,161,37,4,2001,221,91,70,0,0,0,0,0,0,0,0,71,1000,30,2,1,75,да,женский,нет,Орел,Ножницы,Кошек,8,выше средней по университету,KFC,74,128,70,не призовут (по разным причинам),нет,20,3,260,КитКат,780000,Математический и ИТ,Математический и ИТ,есть и брат и сестра,У окна (пардон: у иллюминатора),10,13,40
18,185,39,2,2003,181,94,74,0,85,0,0,0,0,0,0,0,1100,30,1,0,68,нет,женский,нет,Орел,Камень,Собак,11,выше средней по университету,Макдональдс (или как он там сейчас называется?),50,150,69,не призовут (по разным причинам),да,45,2,240,Сникерс,900000,Естественный (биология-химия-физика-технари),Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),10,15,35
18,170,39,2,2003,20,90,86,0,95,0,0,0,0,0,0,0,0,120,0,0,48,да,женский,нет,Решка,Ножницы,Кошек,8,выше средней по университету,Бургер кинг,60,140,72,не призовут (по разным причинам),нет,20,5,387,Милки Вей,800000,СоцГум,Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),5,10,18
21,181,42,7,2001,30,82,72,0,73,0,0,0,0,0,0,0,2200,140,0,3,68,нет,мужской,нет,Орел,Бумага,Кошек,4,выше средней по университету,Макдональдс (или как он там сейчас называется?),45,105,61,могут призвать,нет,2,11,120,Натс,800000,Естественный (биология-химия-физика-технари),Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),5,10,30
20,183,44,3,2002,361,67,74,58,72,0,0,0,0,0,0,0,0,70,0,0,72,нет,мужской,да,Орел,Бумага,Собак,6,ниже средней по университету,KFC,60,150,63,не призовут (по разным причинам),нет,17,4,1000,Милки Вей,1150000,Математический и ИТ,Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),15,7,30
18,180,42,1,2003,120,86,82,0,93,0,0,0,0,0,94,0,0,50,0,0,62,да,мужской,нет,Орел,Камень,Кошек,10,выше средней по университету,KFC,50,100,71,могут призвать,нет,5,3,10,M&Ms,800000,Естественный (биология-химия-физика-технари),Математический и ИТ,нет ни брата ни сестры,У окна (пардон: у иллюминатора),15,18,50
18,159,35,1,2004,92,92,92,0,90,0,0,0,0,0,0,0,0,45,0,0,,да,женский,нет,Орел,Камень,Кошек,4,выше средней по университету,Бургер кинг,150,280,67,не призовут (по разным причинам),нет,25,6,256,КитКат,873711,Математический и ИТ,Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),9,8,22
18,176,42,1,2003,266,73,78,0,75,0,0,0,0,0,0,0,0,120,,,58,да,мужской,нет,Орел,Ножницы,Собак,10,выше средней по университету,Макдональдс (или как он там сейчас называется?),58,110,69,не призовут (по разным причинам),нет,10,8,560,Сникерс,796000,Математический и ИТ,Математический и ИТ,есть и брат и сестра,У окна (пардон: у иллюминатора),12,10,35
19,172,38,3,2002,130,89,82,62,84,0,0,0,0,0,0,0,0,120,3,0,62,да,женский,нет,Орел,Камень,Кошек,8,выше средней по университету,Макдональдс (или как он там сейчас называется?),75,160,70,не призовут (по разным причинам),нет,55,2,400,КитКат,820000,Математический и ИТ,Математический и ИТ,есть сестра,У окна (пардон: у иллюминатора),11,8,40
22,178,42,7,2000,123,80,90,76,0,0,0,0,0,0,0,0,0,100,2,0,70,нет,мужской,нет,Орел,Ножницы,Кошек,2,выше средней по университету,Макдональдс (или как он там сейчас называется?),50,100,83,не призовут (по разным причинам),нет,20,9,200,Твикс,700000,Естественный (биология-химия-физика-технари),Математический и ИТ,нет ни брата ни сестры,У окна (пардон: у иллюминатора),10,8,30
18,175,41,2,2003,50,71,70,0,0,60,0,0,0,78,0,0,1000,15,2,0,75,нет,женский,нет,Орел,Ножницы,Ненавижу этих животных,10,ниже средней по университету,KFC,70,185,70,не призовут (по разным причинам),нет,43,4,180,Натс,700000,Математический и ИТ,Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),8,11,36
19,163,35,2,2002,55,98,84,0,96,0,0,0,0,0,0,0,1005,60,0,0,53,да,женский,нет,Орел,Камень,Собак,10,выше средней по университету,KFC,50,100,69,не призовут (по разным причинам),нет,55,14,240,Твикс,1300000,Естественный (биология-химия-физика-технари),Математический и ИТ,есть брат,У прохода,6,5,15
19,156,37,2,2003,132,86,78,0,78,0,0,0,0,0,0,62,174,60,,,48,нет,женский,нет,Орел,Ножницы,Собак,6,выше средней по университету,Бургер кинг,60,180,60,не призовут (по разным причинам),нет,40,4,300,M&Ms,650000,Естественный (биология-химия-физика-технари),Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),11,15,42
21,167,39,4,2000,500,78,69,0,0,0,0,0,0,0,0,90,1200,30,2,2,,нет,женский,нет,Орел,Камень,Собак,8,выше средней по университету,KFC,50,120,68,не призовут (по разным причинам),нет,20,17,120,КитКат,900000,Педагогический,Математический и ИТ,есть сестра,У окна (пардон: у иллюминатора),10,10,40
22,180,45,4,1999,118,81,76,74,78,0,0,0,0,0,0,0,250,30,3,0,92,да,мужской,нет,Решка,Ножницы,Кошек,12,выше средней по университету,KFC,100,140,70,могут призвать,нет,0.2,4,3,КитКат,700000,Математический и ИТ,Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),20,10,40
21,163,38,37,2001,66,94,74,64,81,0,0,0,0,0,0,0,0,60,,0,58,нет,женский,нет,Орел,Бумага,Кошек,1,выше средней по университету,KFC,50,140,60,не призовут (по разным причинам),нет,40,8,160,Милки Вей,800000,Математический и ИТ,Математический и ИТ,есть сестра,У окна (пардон: у иллюминатора),11,7,30
19,169,41,1,2002,73,61,50,39,0,6,0,0,0,0,0,0,917,10,,,76,нет,мужской,да,Решка,Бумага,Собак,8,ниже средней по университету,Бургер кинг,76,185,72,не призовут (по разным причинам),нет,27,4,1080,Милки Вей,786893,Математический и ИТ,Математический и ИТ,есть сестра,У окна (пардон: у иллюминатора),10,8,24
23,169,40,4,1999,50,98,74,58,61,0,0,0,0,0,0,0,4000,40,0,0,65,нет,женский,да,Решка,Бумага,Кошек,1,выше средней по университету,KFC,115,199,80,не призовут (по разным причинам),нет,25,5,300,Баунти,700000,Математический и ИТ,Математический и ИТ,есть сестра,У окна (пардон: у иллюминатора),13,17,33
